The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements,http://books.toscrape.com/catalogue/the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-the-world-from-the-periodic-table-of-the-elements_244/../../media/cache/47/cd/47cd27d1ae8935f974541829eea328f2.jpg,Five,57.35,In stock (3 available),science_22,http://books.toscrape.com/catalogue/category/books/science_22/index.html
The Devil Wears Prada (The Devil Wears Prada #1),http://books.toscrape.com/catalogue/the-devil-wears-prada-the-devil-wears-prada-1_243/../../media/cache/21/ac/21acb843702d1448519cc8bf0d5da728.jpg,One,44.29,In stock (3 available),womens-fiction_9,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
The Demon-Haunted World: Science as a Candle in the Dark,http://books.toscrape.com/catalogue/the-demon-haunted-world-science-as-a-candle-in-the-dark_242/../../media/cache/f2/a1/f2a18461821c1842a4bc8041de6a8d40.jpg,Four,52.25,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Day the Crayons Came Home (Crayons),http://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/../../media/cache/34/b2/34b2631bafd148bcd8dcd850a4b75971.jpg,Five,26.33,In stock (3 available),childrens_11,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Da Vinci Code (Robert Langdon #2),http://books.toscrape.com/catalogue/the-da-vinci-code-robert-langdon-2_240/../../media/cache/90/81/90810ccd85e7f49b9040246800a19b44.jpg,Two,22.96,In stock (3 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
The Cuckoo's Calling (Cormoran Strike #1),http://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/../../media/cache/72/ec/72ec24f082aba608ca37bc3aeaf57317.jpg,One,19.21,In stock (3 available),mystery_3,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),http://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/../../media/cache/55/2d/552d55d44dcc0f27e98b3e7dc3959e1a.jpg,Four,26.78,In stock (3 available),classics_6,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
The Complete Poems,http://books.toscrape.com/catalogue/the-complete-poems_237/../../media/cache/e5/cb/e5cb32b76ae2e45823f1d50446c9ae58.jpg,Five,41.32,In stock (3 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Catcher in the Rye,http://books.toscrape.com/catalogue/the-catcher-in-the-rye_236/../../media/cache/b4/54/b4540e3eb2e980d0c2b45c5c4432f28b.jpg,One,24.55,In stock (3 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Cat in the Hat (Beginner Books B-1),http://books.toscrape.com/catalogue/the-cat-in-the-hat-beginner-books-b-1_235/../../media/cache/3c/45/3c4578b3f58e5b4afea86f886b201fd8.jpg,Two,16.26,In stock (3 available),childrens_11,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Case for Christ (Cases for Christianity),http://books.toscrape.com/catalogue/the-case-for-christ-cases-for-christianity_234/../../media/cache/fc/42/fc42d56ac8d3ee46bfea880d0cf46a5e.jpg,One,47.84,In stock (3 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Book Thief,http://books.toscrape.com/catalogue/the-book-thief_233/../../media/cache/54/0b/540bd6b063db9cc37fcfa7d9d8a97c7d.jpg,Two,53.49,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Book of Basketball: The NBA According to The Sports Guy,http://books.toscrape.com/catalogue/the-book-of-basketball-the-nba-according-to-the-sports-guy_232/../../media/cache/73/bb/73bbe0a70806f8a732b9a7a7a343c5ec.jpg,Five,44.84,In stock (3 available),sports-and-games_17,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html
The Blind Side: Evolution of a Game,http://books.toscrape.com/catalogue/the-blind-side-evolution-of-a-game_231/../../media/cache/a2/2a/a22a10fdc420dce290c7c85dde23f093.jpg,Five,53.71,In stock (3 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Autobiography of Malcolm X,http://books.toscrape.com/catalogue/the-autobiography-of-malcolm-x_230/../../media/cache/d7/4d/d74ddd5fd851eb01a201e7de7f4d5832.jpg,Two,23.43,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution,http://books.toscrape.com/catalogue/the-art-of-simple-food-notes-lessons-and-recipes-from-a-delicious-revolution_229/../../media/cache/ce/50/ce507dd8849b38d2c3eebb0e691c1aab.jpg,Three,34.32,In stock (3 available),food-and-drink_33,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
The Art of Fielding,http://books.toscrape.com/catalogue/the-art-of-fielding_228/../../media/cache/8a/fe/8afee4ecfc952010bcb70f72e4728d16.jpg,One,22.1,In stock (3 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character,http://books.toscrape.com/catalogue/surely-youre-joking-mr-feynman-adventures-of-a-curious-character_227/../../media/cache/a5/50/a550edf8668b36d52d37080a804944ab.jpg,Two,25.83,In stock (3 available),science_22,http://books.toscrape.com/catalogue/category/books/science_22/index.html
Stiff: The Curious Lives of Human Cadavers,http://books.toscrape.com/catalogue/stiff-the-curious-lives-of-human-cadavers_226/../../media/cache/00/01/0001685f344cae0e6921bc3f8256b54e.jpg,Three,36.74,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Spilled Milk: Based on a True Story,http://books.toscrape.com/catalogue/spilled-milk-based-on-a-true-story_225/../../media/cache/2e/a3/2ea30e892e0060412f854b31a4e72e47.jpg,One,49.51,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Something Borrowed (Darcy & Rachel #1),http://books.toscrape.com/catalogue/something-borrowed-darcy-rachel-1_224/../../media/cache/82/ed/82ed95c8c6c3ee6171fe3b55d766a9ec.jpg,Five,48.96,In stock (3 available),womens-fiction_9,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Something Blue (Darcy & Rachel #2),http://books.toscrape.com/catalogue/something-blue-darcy-rachel-2_223/../../media/cache/29/26/2926c885f673e84d7fc46240b1f77eb2.jpg,One,54.62,In stock (3 available),womens-fiction_9,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Soldier (Talon #3),http://books.toscrape.com/catalogue/soldier-talon-3_222/../../media/cache/79/15/7915bf4c3d1a2f7fd39c4edff580e91f.jpg,Two,24.72,In stock (3 available),fantasy_19,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Shopaholic & Baby (Shopaholic #5),http://books.toscrape.com/catalogue/shopaholic-baby-shopaholic-5_221/../../media/cache/75/b1/75b1b239670c929c4e17b9a67ebb6272.jpg,Two,46.45,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Seven Days in the Art World,http://books.toscrape.com/catalogue/seven-days-in-the-art-world_220/../../media/cache/92/2f/922f6fcd3282a0da76cc14fc13ae2411.jpg,Two,52.33,In stock (3 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Seven Brief Lessons on Physics,http://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/../../media/cache/ae/f9/aef933758e39ba5e4327b2152478bb1a.jpg,Four,30.6,In stock (3 available),science_22,http://books.toscrape.com/catalogue/category/books/science_22/index.html
Scarlet (The Lunar Chronicles #2),http://books.toscrape.com/catalogue/scarlet-the-lunar-chronicles-2_218/../../media/cache/97/04/9704e3b9203e9b029134d0b86c17613b.jpg,Four,14.57,In stock (3 available),young-adult_21,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Sarah's Key,http://books.toscrape.com/catalogue/sarahs-key_217/../../media/cache/36/94/3694ded38770738af6a6959636124331.jpg,One,46.29,In stock (3 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Saga, Volume 3 (Saga (Collected Editions) #3),http://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/../../media/cache/55/89/5589eb7a8127d04add1c4205186d91d4.jpg,Five,21.57,In stock (3 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Running with Scissors,http://books.toscrape.com/catalogue/running-with-scissors_215/../../media/cache/4c/e1/4ce1ed40df359e001020e1ea55674381.jpg,Four,12.91,In stock (3 available),autobiography_27,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Rogue Lawyer (Rogue Lawyer #1),http://books.toscrape.com/catalogue/rogue-lawyer-rogue-lawyer-1_214/../../media/cache/2d/d0/2dd096d0fa0af96560c16aeffea83d4a.jpg,Three,50.11,In stock (3 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars,http://books.toscrape.com/catalogue/rise-of-the-rocket-girls-the-women-who-propelled-us-from-missiles-to-the-moon-to-mars_213/../../media/cache/1c/41/1c41d9cb63d3627fc60a1f3ba42da963.jpg,Four,41.67,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Rework,http://books.toscrape.com/catalogue/rework_212/../../media/cache/12/23/12233a9d0bf8187a988c27c6a54b3d31.jpg,Two,44.88,In stock (3 available),business_35,http://books.toscrape.com/catalogue/category/books/business_35/index.html
Reservations for Two,http://books.toscrape.com/catalogue/reservations-for-two_211/../../media/cache/7a/13/7a13d10c37d4b975145bfa493f69fbf0.jpg,Three,11.1,In stock (3 available),romance_8,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Red: The True Story of Red Riding Hood,http://books.toscrape.com/catalogue/red-the-true-story-of-red-riding-hood_210/../../media/cache/9d/dd/9ddd21ce54bf11eb84bf6986decb9915.jpg,Three,28.54,In stock (3 available),childrens_11,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Ready Player One,http://books.toscrape.com/catalogue/ready-player-one_209/../../media/cache/b9/af/b9afd75c09ff7bf82c9a158a34cb993d.jpg,Four,19.07,In stock (3 available),science-fiction_16,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Quiet: The Power of Introverts in a World That Can't Stop Talking,http://books.toscrape.com/catalogue/quiet-the-power-of-introverts-in-a-world-that-cant-stop-talking_208/../../media/cache/15/fd/15fd39b56579a9038ad1233ceb91951d.jpg,One,43.55,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),http://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/../../media/cache/1b/8b/1b8b733db667fc3a7bbca0d65fa078f1.jpg,Three,43.63,In stock (3 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Persepolis: The Story of a Childhood (Persepolis #1-2),http://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/../../media/cache/9d/5f/9d5f4a231a2ee898ed76f603b3e40163.jpg,One,39.13,In stock (3 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Packing for Mars: The Curious Science of Life in the Void,http://books.toscrape.com/catalogue/packing-for-mars-the-curious-science-of-life-in-the-void_205/../../media/cache/f1/33/f13365561defe8ad6f80c26d2216633c.jpg,Two,56.68,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Outliers: The Story of Success,http://books.toscrape.com/catalogue/outliers-the-story-of-success_204/../../media/cache/7c/7f/7c7f3a48d03cdbdd87c07482711b72f9.jpg,One,14.16,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Original Fake,http://books.toscrape.com/catalogue/original-fake_203/../../media/cache/39/99/3999845b6800427aad3d45041586a171.jpg,Three,31.45,In stock (3 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Orange Is the New Black,http://books.toscrape.com/catalogue/orange-is-the-new-black_202/../../media/cache/c4/cf/c4cf1668dcb49c698e8cc2c6553b1237.jpg,Two,24.61,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
One for the Money (Stephanie Plum #1),http://books.toscrape.com/catalogue/one-for-the-money-stephanie-plum-1_201/../../media/cache/3f/7a/3f7a775ec9fe618e122e3d3b4f91dc22.jpg,Two,32.87,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Notes from a Small Island (Notes From a Small Island #1),http://books.toscrape.com/catalogue/notes-from-a-small-island-notes-from-a-small-island-1_200/../../media/cache/8f/40/8f40ba4f73d2c70e0ccc15d77dc3c220.jpg,One,40.17,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Night (The Night Trilogy #1),http://books.toscrape.com/catalogue/night-the-night-trilogy-1_199/../../media/cache/b2/45/b245b0b715de260634e66a05a024cc52.jpg,One,13.51,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Neither Here nor There: Travels in Europe,http://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/../../media/cache/c9/9a/c99a7a05537cd842eb4db83d537e3a4d.jpg,Three,38.95,In stock (3 available),travel_2,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
Naked,http://books.toscrape.com/catalogue/naked_197/../../media/cache/80/2b/802b92421a7314b0a6afef8a9754cf5c.jpg,Three,31.69,In stock (3 available),humor_30,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Morning Star (Red Rising #3),http://books.toscrape.com/catalogue/morning-star-red-rising-3_196/../../media/cache/53/4b/534bffd5988b0ddf6b587de76fa63d9a.jpg,One,29.4,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing,http://books.toscrape.com/catalogue/miracles-from-heaven-a-little-girl-her-journey-to-heaven-and-her-amazing-story-of-healing_195/../../media/cache/60/cd/60cda3c756f14ef6625b979cfeb230ea.jpg,One,57.83,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Midnight Riot (Peter Grant/ Rivers of London - books #1),http://books.toscrape.com/catalogue/midnight-riot-peter-grant-rivers-of-london-books-1_194/../../media/cache/cd/65/cd65e4ee648ae23f6cdafb41e4948d6e.jpg,Two,55.46,In stock (3 available),fantasy_19,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Me Talk Pretty One Day,http://books.toscrape.com/catalogue/me-talk-pretty-one-day_193/../../media/cache/61/b2/61b220c2079a45a7975a397c8849e00e.jpg,Two,57.6,In stock (3 available),autobiography_27,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Manuscript Found in Accra,http://books.toscrape.com/catalogue/manuscript-found-in-accra_192/../../media/cache/d9/54/d9540861f39f0b181b3fb13d57025f0c.jpg,Two,34.98,In stock (3 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Lust & Wonder,http://books.toscrape.com/catalogue/lust-wonder_191/../../media/cache/25/1c/251ce4355601534338a646f2b63be93a.jpg,Two,11.87,In stock (3 available),autobiography_27,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Lila (Gilead #3),http://books.toscrape.com/catalogue/lila-gilead-3_190/../../media/cache/9b/37/9b37bcfb1a44dabbef36f5bf899df4b0.jpg,Three,12.47,In stock (3 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3),http://books.toscrape.com/catalogue/life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/../../media/cache/54/ca/54cac05a3026d35e713133a1fe49f6c8.jpg,Two,33.26,In stock (3 available),science-fiction_16,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Life Without a Recipe,http://books.toscrape.com/catalogue/life-without-a-recipe_188/../../media/cache/9e/4f/9e4fb935df3113056cc9bdee6cd09ea6.jpg,Five,59.04,In stock (3 available),autobiography_27,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Life After Life,http://books.toscrape.com/catalogue/life-after-life_187/../../media/cache/60/4b/604b6a188b8ad3cfaeda67039399fcb6.jpg,Two,26.13,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Letter to a Christian Nation,http://books.toscrape.com/catalogue/letter-to-a-christian-nation_186/../../media/cache/88/21/8821ea9cd21326e41e095619b822a4a8.jpg,One,22.2,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Let's Pretend This Never Happened: A Mostly True Memoir,http://books.toscrape.com/catalogue/lets-pretend-this-never-happened-a-mostly-true-memoir_185/../../media/cache/f5/8a/f58a15a50b2d70a4a8fd4fa6485a7009.jpg,One,45.11,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Legend (Legend #1),http://books.toscrape.com/catalogue/legend-legend-1_184/../../media/cache/57/8f/578f1512a0f0a9d3c2ab9543f7b4506f.jpg,Four,43.69,In stock (3 available),young-adult_21,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Lean In: Women, Work, and the Will to Lead,http://books.toscrape.com/catalogue/lean-in-women-work-and-the-will-to-lead_183/../../media/cache/c2/4f/c24fc1d77ec9dd6e0c863484041c482f.jpg,One,25.02,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Lamb: The Gospel According to Biff, Christ's Childhood Pal,http://books.toscrape.com/catalogue/lamb-the-gospel-according-to-biff-christs-childhood-pal_182/../../media/cache/c4/69/c469440eeffdd84ac3f4b09bd575c548.jpg,Five,55.5,In stock (3 available),humor_30,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Lady Renegades (Rebel Belle #3),http://books.toscrape.com/catalogue/lady-renegades-rebel-belle-3_181/../../media/cache/86/36/8636b9056ea6930c153cd1d5b4aed36a.jpg,Five,53.04,In stock (3 available),young-adult_21,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Jurassic Park (Jurassic Park #1),http://books.toscrape.com/catalogue/jurassic-park-jurassic-park-1_180/../../media/cache/26/9e/269e8962f39f359559a46cae86576128.jpg,One,44.97,In stock (3 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,http://books.toscrape.com/catalogue/its-never-too-late-to-begin-again-discovering-creativity-and-meaning-at-midlife-and-beyond_179/../../media/cache/27/f5/27f54466115767b767133ee034543cb5.jpg,One,42.38,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Is Everyone Hanging Out Without Me? (And Other Concerns),http://books.toscrape.com/catalogue/is-everyone-hanging-out-without-me-and-other-concerns_178/../../media/cache/80/4f/804fbcee4a4afa6498badaa12709c049.jpg,Three,20.11,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Into the Wild,http://books.toscrape.com/catalogue/into-the-wild_177/../../media/cache/de/c9/dec9168a8a3876b60feedb68aeb0225b.jpg,Five,56.7,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Inferno (Robert Langdon #4),http://books.toscrape.com/catalogue/inferno-robert-langdon-4_176/../../media/cache/ec/15/ec15a39e6f193636635f20a7354b08f6.jpg,Five,41,In stock (3 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin,http://books.toscrape.com/catalogue/in-the-garden-of-beasts-love-terror-and-an-american-family-in-hitlers-berlin_175/../../media/cache/b5/a2/b5a295c15ac586c6daa84e6e20f47b06.jpg,Three,28.85,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
If I Run (If I Run #1),http://books.toscrape.com/catalogue/if-i-run-if-i-run-1_174/../../media/cache/54/17/54179d9af49616b1ef35a0bb23294b14.jpg,Four,49.97,In stock (3 available),christian-fiction_34,http://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
I've Got Your Number,http://books.toscrape.com/catalogue/ive-got-your-number_173/../../media/cache/3d/40/3d407a69fe55223fb4cfec577a9a8ee2.jpg,One,19.69,In stock (3 available),womens-fiction_9,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,http://books.toscrape.com/catalogue/i-am-malala-the-girl-who-stood-up-for-education-and-was-shot-by-the-taliban_172/../../media/cache/69/07/69077c48327b2702f44adc035fcc1ce4.jpg,Two,28.88,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,http://books.toscrape.com/catalogue/hungry-girl-clean-hungry-easy-all-natural-recipes-for-healthy-eating-in-the-real-world_171/../../media/cache/54/63/54630f76b730d2d00dc8d75921992af2.jpg,Three,33.14,In stock (3 available),food-and-drink_33,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth,http://books.toscrape.com/catalogue/house-of-lost-worlds-dinosaurs-dynasties-and-the-story-of-life-on-earth_170/../../media/cache/f5/b7/f5b783f6cfdfe30895d912f9e337bb22.jpg,Two,43.7,In stock (3 available),history_32,http://books.toscrape.com/catalogue/category/books/history_32/index.html
House of Leaves,http://books.toscrape.com/catalogue/house-of-leaves_169/../../media/cache/20/c2/20c2ff61355569b4f84e2f847e37db25.jpg,One,54.89,In stock (3 available),horror_31,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Horrible Bear!,http://books.toscrape.com/catalogue/horrible-bear_168/../../media/cache/9f/9c/9f9c8afb3befd7ab2629c76983445766.jpg,Two,37.52,In stock (3 available),childrens_11,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Holidays on Ice,http://books.toscrape.com/catalogue/holidays-on-ice_167/../../media/cache/57/4c/574cbab555bb7d21e50b20267383e45d.jpg,Two,51.07,In stock (3 available),humor_30,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Heir to the Sky,http://books.toscrape.com/catalogue/heir-to-the-sky_166/../../media/cache/36/39/36393f3294ab28afe4a2117fc987be75.jpg,Four,44.07,In stock (3 available),fantasy_19,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Green Eggs and Ham (Beginner Books B-16),http://books.toscrape.com/catalogue/green-eggs-and-ham-beginner-books-b-16_165/../../media/cache/38/91/38916e718a4a117d62cbb8e10c7443ff.jpg,Four,10.79,In stock (3 available),childrens_11,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Grayson, Vol 3: Nemesis (Grayson #3),http://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/../../media/cache/a9/10/a9105d5dbdc6a339c21d6635b3dc1697.jpg,One,42.72,In stock (3 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Gratitude,http://books.toscrape.com/catalogue/gratitude_163/../../media/cache/56/73/5673fea5d08ad840ade774146ce07b28.jpg,Five,26.66,In stock (3 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Gone Girl,http://books.toscrape.com/catalogue/gone-girl_162/../../media/cache/73/21/7321b201d1c51a1c3b777a72c4bc0ea9.jpg,Five,37.6,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Golden (Heart of Dread #3),http://books.toscrape.com/catalogue/golden-heart-of-dread-3_161/../../media/cache/c2/8b/c28ba565e29fd6879ccf4738fbf06696.jpg,Four,42.21,In stock (3 available),young-adult_21,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Girl in the Blue Coat,http://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/../../media/cache/15/ea/15eaabd188af8916c4a37d135f7b8952.jpg,Two,46.83,In stock (3 available),historical-fiction_4,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Fruits Basket, Vol. 3 (Fruits Basket #3),http://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/../../media/cache/85/d2/85d2821dbc2d274f516582449199015e.jpg,Two,45.17,In stock (3 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Friday Night Lights: A Town, a Team, and a Dream,http://books.toscrape.com/catalogue/friday-night-lights-a-town-a-team-and-a-dream_158/../../media/cache/89/e8/89e87f1e98993377949855563aa1f982.jpg,Three,51.22,In stock (3 available),sports-and-games_17,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html
Fire Bound (Sea Haven/Sisters of the Heart #5),http://books.toscrape.com/catalogue/fire-bound-sea-havensisters-of-the-heart-5_157/../../media/cache/33/fb/33fba23401f34bd8cd5287f5ca640502.jpg,Four,21.28,In stock (3 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Fifty Shades Freed (Fifty Shades #3),http://books.toscrape.com/catalogue/fifty-shades-freed-fifty-shades-3_156/../../media/cache/f4/07/f407d3bbf457d35701dfe72ee9ef3b68.jpg,Five,15.36,In stock (3 available),adult-fiction_29,http://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html
Fellside,http://books.toscrape.com/catalogue/fellside_155/../../media/cache/cc/06/cc0645a0e77fc831377456199f9e0a94.jpg,One,38.62,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Extreme Prey (Lucas Davenport #26),http://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/../../media/cache/0a/b2/0ab24d35793497f6a72137191b91659e.jpg,Three,25.4,In stock (3 available),mystery_3,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Eragon (The Inheritance Cycle #1),http://books.toscrape.com/catalogue/eragon-the-inheritance-cycle-1_153/../../media/cache/8e/5a/8e5a6639c7e2f9b59ff15f04a3b055e1.jpg,Three,43.87,In stock (3 available),fantasy_19,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Eclipse (Twilight #3),http://books.toscrape.com/catalogue/eclipse-twilight-3_152/../../media/cache/cf/04/cf0433b690aab40a7ceddb682c90a54b.jpg,One,18.74,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Dune (Dune #1),http://books.toscrape.com/catalogue/dune-dune-1_151/../../media/cache/63/a9/63a9a4e0c8e3c6ee2075a766b873cd31.jpg,One,54.86,In stock (3 available),science-fiction_16,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Dracula,http://books.toscrape.com/catalogue/dracula_150/../../media/cache/16/0e/160e4bca2350f51d5ec2fe4a0f88543a.jpg,Three,52.62,In stock (3 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),http://books.toscrape.com/catalogue/do-androids-dream-of-electric-sheep-blade-runner-1_149/../../media/cache/c7/a3/c7a3d04df9cbc857b149cd76d32e3030.jpg,One,51.48,In stock (3 available),science-fiction_16,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
